order_id,user_id,item
3398,1,tape
3398,1,paint
3398,1,glue
6662,2,tape
6662,2,hammer
6662,2,screws
5236,2,wire
1389,3,hammer
2001,3,screws
2001,3,nails
2001,3,broom
2001,3,hammer
9187,4,broom
9187,4,hammer
9187,4,tape
5878,5,paint
5878,5,screws
5878,5,screwdriver
7350,6,paint
3991,7,glue
3991,7,hammer
9540,7,tape
9540,7,bucket
9540,7,hammer
9195,8,screwdriver
4820,8,glue
4820,8,hammer
4820,8,broom
5569,9,screwdriver
5569,9,wire
5569,9,tape
5569,9,hammer
6257,9,glue
9692,10,tape
1143,10,bucket
9545,11,bucket
9545,11,screws
9803,12,nails
9803,12,paint
9803,12,screws
9803,12,bucket
4530,13,bucket
4530,13,paint
4530,13,screwdriver
4530,13,wire
4387,13,broom
4387,13,paint
6978,14,hammer
3481,15,glue
3656,16,glue
3656,16,broom
3656,16,tape
3656,16,hammer
5598,16,broom
5598,16,screws
6750,17,wire
3334,17,hammer
4191,18,bucket
4191,18,paint
6079,18,tape
2277,19,hammer
7086,20,tape
7086,20,broom
7086,20,bucket
7086,20,nails
